Onset,Annotation
+0.0000000,Marker:Markon:w
+29.7867298,Marker:Markoff:w
+30.2606635,Marker:Markon:w
+59.7860000,Marker:Markoff:w
+60.2600000,Marker:Markon:w
+89.7860000,Marker:Markoff:w
+90.2600000,Marker:Markon:w
+119.7860000,Marker:Markoff:w
+120.2600000,Marker:Markon:w
+149.7860000,Marker:Markoff:w
+150.2600000,Marker:Markon:w
+179.7860000,Marker:Markoff:w
+180.2600000,Marker:Markon:w
+209.7860000,Marker:Markoff:w
+210.2600000,Marker:Markon:w
+239.7860000,Marker:Markoff:w
+240.2600000,Marker:Markon:w
+269.7860000,Marker:Markoff:w
+270.2600000,Marker:Markon:w
+299.7860000,Marker:Markoff:w
+300.2600000,Marker:Markon:w
+329.7860000,Marker:Markoff:w
+330.2600000,Marker:Markon:w
+359.7860000,Marker:Markoff:w
+360.2380000,Marker:Markon:w
+389.8150000,Marker:Markoff:w
+390.2120000,Marker:Markon:w
+419.8150000,Marker:Markoff:w
+420.2120000,Marker:Markon: w
+449.7390000,Marker:Markoff:w
+450.2480000,Marker:Markon:w
+479.7916315,Marker:Markoff:w
+480.2570000,Marker:Markon:w
+509.7390000,Marker:Markoff:w
+510.2430000,Marker:Markon:w
+539.7390000,Marker:Markoff:w
+540.2180000,Marker:Markon:w
+569.7390000,Marker:Markoff:w
+570.2180000,Marker:Markon:w
+599.7880000,Marker:Markoff:w
+600.2020000,Marker:Markon:w
+629.7620000,Marker:Markoff:w
+630.2280000,Marker:Markon:w
+659.7390000,Marker:Markoff:w
+660.2180000,Marker:Markon:w
+689.7390000,Marker:Markoff:w
+690.2180000,Marker:Markon:w
+719.7390000,Marker:Markoff:w
+720.2180000,Marker:Markon:w
+749.7590000,Marker:Markoff:w
+750.2510000,Marker:Markon:w
+779.7390000,Marker:Markoff:w
+780.2180000,Marker:Markon:w
+809.7390000,Marker:Markoff:w
+810.2180000,Marker:Markon:w
+839.7390000,Marker:Markoff:w
+840.2180000,Marker:Markon:w
+869.7390000,Marker:Markoff:w
+870.1790000,Marker:Markon:w
+899.7390000,Marker:Markoff:w
+900.2180000,Marker:Markon:w
+929.7400000,Marker:Markoff:w
+930.2230000,Marker:Markon:w
+959.7400000,Marker:Markoff:w
+960.2230000,Marker:Markon:w
+989.7400000,Marker:Markoff:w
+990.2230000,Marker:Markon:w
+1019.7400000,Marker:Markoff:w
+1019.7400000,Marker:Markoff:w
+1020.2230000,Marker:Markon:w
+1049.7400000,Marker:Markoff:w
+1050.2230000,Marker:Markon:w
+1079.7400000,Marker:Markoff:w
+1080.2230000,Marker:Markon:w
+1109.7400000,Marker:Markoff:w
+1110.2230000,Marker:Markon:w
+1139.7400000,Marker:Markoff:w
+1140.2230000,Marker:Markon:w
+1169.7400000,Marker:Markoff:w
+1170.2230000,Marker:Markon:w
+1199.7400000,Marker:Markoff:w
+1200.2230000,Marker:Markon:w
+1229.7400000,Marker:Markoff:w
+1230.2230000,Marker:Markon:w
+1259.7400000,Marker:Markoff:w
+1260.2230000,Marker:Markon:w
+1289.7400000,Marker:Markoff:w
+1290.2230000,Marker:Markon:w
+1319.7400000,Marker:Markoff:w
+1320.2230000,Marker:Markon:w
+1349.7400000,Marker:Markoff:w
+1350.2230000,Marker:Markon:w
+1379.7400000,Marker:Markoff:w
+1380.2230000,Marker:Markon:w
+1409.7400000,Marker:Markoff:w
+1410.2230000,Marker:Markon:w
+1439.7400000,Marker:Markoff:w
+1440.2230000,Marker:Markon:w
+1469.7400000,Marker:Markoff:w
+1470.2230000,Marker:Markon:w
+1499.7400000,Marker:Markoff:w
+1500.2230000,Marker:Markon:w
+1529.7400000,Marker:Markoff:w
+1530.2230000,Marker:Markon:w
+1559.7400000,Marker:Markoff:w
+1560.2230000,Marker:Markon:w
+1589.7400000,Marker:Markoff:w
+1590.2230000,Marker:Markon:w
+1619.7400000,Marker:Markoff:w
+1620.2230000,Marker:Markon:w
+1649.7400000,Marker:Markoff:w
+1650.2230000,Marker:Markon:w
+1679.7400000,Marker:Markoff:w
+1680.2230000,Marker:Markon:w
+1709.7400000,Marker:Markoff:w
+1710.2230000,Marker:Markon:w
+1739.7400000,Marker:Markoff:w
+1740.2230000,Marker:Markon:w
+1769.7400000,Marker:Markoff:w
+1770.2230000,Marker:Markon:w
