Onset,Annotation
+0.0000000,Marker:Markon:w
+29.8219070,Marker:Markoff:w
+30.1843971,Marker:Markon:w
+59.8187549,Marker:Markoff:w
+60.1970055,Marker:Markon:w
+89.8234830,Marker:Markoff:w
+90.1927330,Marker:Markon:w
+119.8262243,Marker:Markoff:w
+120.2450000,Marker:Markon:w
+149.7851500,Marker:Markoff:w
+150.2450000,Marker:Markon:w
+179.8072669,Marker:Markoff:w
+180.2450000,Marker:Markon:w
+209.8009478,Marker:Markoff:w
+210.1990000,Marker:Markon:w
+239.8000000,Marker:Markoff:w
+240.1990000,Marker:Markon:w
+269.8000000,Marker:Markoff:w
+270.1990000,Marker:Markon:w
+299.8000000,Marker:Markoff:w
+300.1990000,Marker:Markon:1
+329.8000000,Marker:Markoff:1
+330.1990000,Marker:Markon:1
+359.8000000,Marker:Markoff:1
+360.1990000,Marker:Markon:1
+389.8000000,Marker:Markoff:1
+390.1990000,Marker:Markon:1
+419.8000000,Marker:Markoff:1
+420.1990000,Marker:Markon:1
+449.8000000,Marker:Markoff:1
+450.1990000,Marker:Markon:1
+479.8000000,Marker:Markoff:1
+480.1990000,Marker:Markon:1
+509.8000000,Marker:Markoff:1
+510.1990000,Marker:Markon:1
+526.6571879,spindle
+531.0458135,spindle
+539.8000000,Marker:Markoff:1
+540.1990000,Marker:Markon:2
+558.9162717,spindle
+565.9273301,spindle
+569.8000000,Marker:Markoff:2
+570.1990000,Marker:Markon:2
+588.4676145,spindle
+599.8000000,Marker:Markoff:2
+600.1990000,Marker:Markon:2
+629.8000000,Marker:Markoff:2
+630.1990000,Marker:Markon:2
+643.7946287,spindle
+649.4818325,spindle
+659.8000000,Marker:Markoff:2
+660.1990000,Marker:Markon:2
+689.8000000,Marker:Markoff:2
+690.1990000,Marker:Markon:2
+691.0932069,spindle
+712.5086887,spindle
+714.6887835,spindle
+719.8000000,Marker:Markoff:2
+720.1990000,Marker:Markon:2
+749.8000000,Marker:Markoff:2
+750.1990000,Marker:Markon:2
+772.3254344,spindle
+779.8000000,Marker:Markoff:2
+780.1990000,Marker:Markon:2
+809.8000000,Marker:Markoff:2
+810.1990000,Marker:Markon:2
+839.8000000,Marker:Markoff:2
+840.1990000,Marker:Markon:2
+861.3048972,spindle
+869.8000000,Marker:Markoff:2
+870.1990000,Marker:Markon:2
+889.4312795,spindle
+899.8000000,Marker:Markoff:2
+900.1990000,Marker:Markon:2
+916.5055291,spindle
+929.8000000,Marker:Markoff:2
+930.1990000,Marker:Markon:2
+959.8000000,Marker:Markoff:2
+960.1990000,Marker:Markon:2
+981.0047392,spindle
+989.8000000,Marker:Markoff:2
+990.1990000,Marker:Markon:2
+1019.8000000,Marker:Markoff:2
+1020.1990000,Marker:Markon:2
+1022.7424960,spindle
+1049.8000000,Marker:Markoff:2
+1050.1990000,Marker:Markon:2
+1079.8000000,Marker:Markoff:2
+1080.1990000,Marker:Markon:2
+1097.1500789,spindle
+1109.8000000,Marker:Markoff:2
+1110.1990000,Marker:Markon:2
+1139.8000000,Marker:Markoff:2
+1140.1990000,Marker:Markon:2
+1152.9510268,spindle
+1158.2748814,spindle
+1169.8000000,Marker:Markoff:2
+1170.1990000,Marker:Markon:2
+1199.8000000,Marker:Markoff:2
+1200.1990000,Marker:Markon:2
+1200.9225907,spindle
+1204.3507108,spindle
+1223.1090047,spindle
+1229.8000000,Marker:Markoff:2
+1230.1990000,Marker:Markon:2
+1238.1358609,spindle
+1259.8000000,Marker:Markoff:2
+1260.1990000,Marker:Markon:2
+1283.0110584,spindle
+1289.8000000,Marker:Markoff:2
+1290.1990000,Marker:Markon:2
+1291.3680884,spindle
+1319.8000000,Marker:Markoff:2
+1320.1990000,Marker:Markon:2
+1333.2890994,spindle
+1349.8000000,Marker:Markoff:2
+1350.1990000,Marker:Markon:2
+1373.9589257,spindle
+1379.3333332,spindle
+1379.8000000,Marker:Markoff:2
+1380.1990000,Marker:Markon:2
+1386.5908372,spindle
+1402.0600315,spindle
+1405.1563980,spindle
+1409.8000000,Marker:Markoff:2
+1410.1990000,Marker:Markon:2
+1431.8199051,spindle
+1437.5387045,spindle
+1439.8000000,Marker:Markoff:2
+1440.1990000,Marker:Markon:2
+1445.2101105,spindle
+1469.8000000,Marker:Markoff:2
+1470.1990000,Marker:Markon:2
+1473.0995260,spindle
+1499.8000000,Marker:Markoff:2
+1500.1990000,Marker:Markon:2
+1529.8000000,Marker:Markoff:2
+1530.1990000,Marker:Markon:2
+1558.0884675,spindle
+1559.8000000,Marker:Markoff:2
+1560.1990000,Marker:Markon:2
+1564.9668246,spindle
+1565.9660000,spindle
+1589.8000000,Marker:Markoff:2
+1590.1990000,Marker:Markon:2
+1619.8000000,Marker:Markoff:2
+1620.1990000,Marker:Markon:2
+1649.0774091,spindle
+1649.8000000,Marker:Markoff:2
+1650.1990000,Marker:Markon:2
+1652.0157977,spindle
+1679.8000000,Marker:Markoff:2
+1680.1990000,Marker:Markon:2
+1709.8000000,Marker:Markoff:2
+1710.1990000,Marker:Markon:2
+1739.8000000,Marker:Markoff:2
+1740.1990000,Marker:Markon:2
+1769.8000000,Marker:Markoff:2
+1770.1990000,Marker:Markon:2
