Onset,Annotation
+0.0000000,Marker: Markon: w
+29.8080000,Marker: Markoff: w
+30.2198581,Marker: Markon: w
+59.8723404,Marker: Markoff: w
+60.2380000,Marker: Markon: w
+89.7281323,Marker: Markoff: w
+90.2560000,Marker: Markon: w
+119.8014184,Marker: Markoff: w
+120.1796690,Marker: Markon: w
+149.8014184,Marker: Markoff: w
+150.2360000,Marker: Markon: w
+179.8463356,Marker: Markoff: w
+180.1610000,Marker: Markon: w
+209.8226950,Marker: Markoff: w
+210.2482269,Marker: Markon: w
+239.7990543,Marker: Markoff: w
+240.2950000,Marker: Markon: w
+269.8170000,Marker: Markoff: w
+270.3140000,Marker: Markon: w
+299.7960000,Marker: Markoff: w
+300.2220000,Marker: Markon: w
+330.7770000,Marker: Markoff: w
+331.2260000,Marker: Markon: 1
+359.7890000,Marker: Markoff: 1
+360.2380000,Marker: Markon: 1
+389.7370000,Marker: Markoff: 1
+390.2340000,Marker: Markon: 1
+395.9856562,spindle
+400.7910000,k-complex
+419.8660000,Marker: Markoff: 1
+420.1970000,Marker: Markon: 1
+449.7879858,Marker: Markoff: 1
+450.2776065,Marker: Markon: 1
+479.8477981,Marker: Markoff: 1
+480.2360638,Marker: Markon: w
+509.7953055,Marker: Markoff: w
+510.2455424,Marker: Markon: w
+539.8018245,Marker: Markoff: w
+540.2450000,Marker: Markon: w
+569.7620000,Marker: Markoff: w
+570.2798265,Marker: Markon: 1
+599.7699042,Marker: Markoff: 1
+600.1840543,Marker: Markon: 1
+624.6007156,spindle
+629.7811563,Marker: Markoff: 1
+630.1840000,Marker: Markon: w
+659.7810000,Marker: Markoff: w
+660.1840000,Marker: Markon: w
+689.7810000,Marker: Markoff: w
+690.1840000,Marker: Markon: w
+719.7810000,Marker: Markoff: w
+720.1840000,Marker: Markon: w
+749.7810000,Marker: Markoff: w
+750.1840000,Marker: Markon: w
+779.7810000,Marker: Markoff: w
+780.1840000,Marker: Markon: w
+809.7810000,Marker: Markoff: w
+810.1840000,Marker: Markon: w
+839.7810000,Marker: Markoff: w
+840.1840000,Marker: Markon: w
+870.1840000,Marker: Markon: w
+899.7690000,Marker: Markoff: w
+929.7690000,Marker: Markoff: w
+930.1840000,Marker: Markon: w
+959.7690000,Marker: Markoff: w
+960.1840000,Marker: Markon: w
+989.7690000,Marker: Markoff: w
+990.1840000,Marker: Markon: w
+1019.7690000,Marker: Markoff: w
+1020.1840000,Marker: Markon: w
+1049.7690000,Marker: Markoff: w
+1050.1840000,Marker: Markon: w
+1079.7690000,Marker: Markoff: w
+1080.1840000,Marker: Markon: w
+1109.7690000,Marker: Markoff: w
+1110.1840000,Marker: Markon: w
+1139.7690000,Marker: Markoff: w
+1140.1840000,Marker: Markon: w
+1169.7690000,Marker: Markoff: w
+1170.1840000,Marker: Markon: w
+1199.7690000,Marker: Markoff: w
+1200.1840000,Marker: Markon: w
+1229.7690000,Marker: Markoff: w
+1230.1840000,Marker: Markon: w
+1259.7690000,Marker: Markoff: w
+1260.1840000,Marker: Markon: w
+1289.7690000,Marker: Markoff: w
+1290.1840000,Marker: Markon: w
+1319.7690000,Marker: Markoff: w
+1320.1840000,Marker: Markon: w
+1349.7690000,Marker: Markoff: w
+1350.1840000,Marker: Markon: w
+1379.7690000,Marker: Markoff: w
+1380.1840000,Marker: Markon: w
+1409.7690000,Marker: Markoff: w
+1410.1840000,Marker: Markon: w
+1439.7690000,Marker: Markoff: w
+1440.1840000,Marker: Markon: w
+1469.7690000,Marker: Markoff: w
+1470.1840000,Marker: Markon: w
+1499.7690000,Marker: Markoff: w
+1500.1840000,Marker: Markon: w
+1529.7690000,Marker: Markoff: w
+1530.1840000,Marker: Markon: w
+1559.7690000,Marker: Markoff: w
+1560.1840000,Marker: Markon: w
+1589.7690000,Marker: Markoff: w
+1590.1840000,Marker: Markon: w
+1619.7690000,Marker: Markoff: w
+1620.1840000,Marker: Markon: w
+1649.7690000,Marker: Markoff: w
+1650.1840000,Marker: Markon: w
+1679.7690000,Marker: Markoff: w
+1680.1840000,Marker: Markon: w
+1680.1840000,Marker: Markon: w
+1709.7690000,Marker: Markoff: w
+1710.1840000,Marker: Markon: w
+1739.7690000,Marker: Markoff: w
+1740.1840000,Marker: Markon: w
+1769.7690000,Marker: Markoff: w
+1770.1840000,Marker: Markon: w
